customer_id,name,gender,age,city,state,join_date,loyalty_points
57,Customer_57,Female,37,Delhi,DL,2025-11-12,4471
58,Customer_58,Male,65,Delhi,KA,2025-11-04,516
59,Customer_59,Female,23,Pune,TS,2025-09-11,2854
60,Customer_60,Male,58,Delhi,MH,2025-11-09,1789
61,Customer_61,Male,34,Hyderabad,KA,2025-10-04,694
62,Customer_62,Male,41,Mumbai,TS,2025-11-03,3990
63,Customer_63,Male,62,Bangalore,TN,2026-01-23,2063
64,Customer_64,Female,34,Delhi,DL,2025-09-24,4141
65,Customer_65,Female,53,Chennai,DL,2026-01-18,2750
66,Customer_66,Female,30,Chennai,KA,2025-11-12,614
67,Customer_67,Male,21,Bangalore,DL,2025-08-03,682
68,Customer_68,Female,65,Pune,DL,2025-10-30,1262
69,Customer_69,Male,30,Chennai,KA,2025-09-08,2102
70,Customer_70,Male,52,Mumbai,TS,2025-10-30,3886
71,Customer_71,Male,45,Hyderabad,TN,2026-01-24,3574
72,Customer_72,Female,21,Mumbai,TS,2025-09-02,1190
73,Customer_73,Female,65,Mumbai,KA,2025-12-26,4028
74,Customer_74,Female,45,Chennai,DL,2025-08-27,1529
75,Customer_75,Male,38,Delhi,TN,2025-11-29,1661
76,Customer_76,Male,62,Mumbai,KA,2025-09-15,3133
77,Customer_77,Female,41,Delhi,TN,2025-10-25,3996
78,Customer_78,Male,23,Pune,TS,2025-12-29,3668
79,Customer_79,Female,27,Hyderabad,TS,2025-10-28,1112
80,Customer_80,Female,52,Hyderabad,DL,2025-12-31,4485
81,Customer_81,Female,25,Chennai,MH,2025-11-10,1894
82,Customer_82,Male,26,Delhi,MH,2025-09-06,4438
83,Customer_83,Female,22,Hyderabad,KA,2025-11-12,4488
84,Customer_84,Male,51,Hyderabad,KA,2025-12-05,2741
85,Customer_85,Male,35,Bangalore,MH,2025-12-27,3986
86,Customer_86,Female,21,Delhi,TN,2026-01-08,4331
87,Customer_87,Female,49,Pune,KA,2025-09-02,3948
88,Customer_88,Female,42,Chennai,KA,2025-11-16,2081
89,Customer_89,Female,43,Delhi,TN,2025-08-26,3850
90,Customer_90,Male,49,Pune,KA,2025-08-29,3572
91,Customer_91,Male,33,Mumbai,MH,2025-09-16,3467
92,Customer_92,Female,62,Hyderabad,TN,2025-12-20,1248
93,Customer_93,Male,54,Pune,DL,2025-12-03,2441
94,Customer_94,Male,20,Mumbai,TS,2025-11-04,3298
95,Customer_95,Male,36,Mumbai,KA,2026-01-12,3584
96,Customer_96,Male,54,Mumbai,TN,2025-10-19,412
97,Customer_97,Male,18,Hyderabad,MH,2025-09-10,2024
98,Customer_98,Female,46,Chennai,TN,2025-08-15,613
99,Customer_99,Male,53,Mumbai,MH,2025-08-03,3076
100,Customer_100,Female,29,Pune,DL,2026-01-17,1994
101,Customer_101,Female,37,Delhi,TN,2025-12-06,1009
102,Customer_102,Female,32,Bangalore,DL,2026-01-08,4636
103,Customer_103,Female,30,Pune,TS,2025-10-16,2102
104,Customer_104,Male,43,Bangalore,TN,2026-01-22,2064
105,Customer_105,Male,25,Hyderabad,DL,2025-12-24,2992
106,Customer_106,Female,43,Pune,KA,2025-10-08,1275
107,Customer_107,Female,18,Chennai,TN,2025-08-29,2172
108,Customer_108,Male,65,Delhi,TN,2025-09-21,4544
109,Customer_109,Female,45,Hyderabad,TS,2025-08-07,3580
110,Customer_110,Female,65,Chennai,MH,2025-09-08,320
111,Customer_111,Male,30,Mumbai,KA,2025-09-04,3424
112,Customer_112,Female,21,Delhi,KA,2025-12-13,3967
113,Customer_113,Male,29,Hyderabad,TS,2025-11-07,2301
114,Customer_114,Female,41,Delhi,TN,2025-11-11,4070
115,Customer_115,Male,53,Hyderabad,MH,2025-10-22,4629
116,Customer_116,Male,33,Mumbai,KA,2026-01-15,1117
117,Customer_117,Female,42,Bangalore,MH,2025-11-20,1903
118,Customer_118,Male,65,Delhi,DL,2025-12-02,311
119,Customer_119,Male,63,Pune,TS,2026-01-25,3297
120,Customer_120,Female,42,Hyderabad,KA,2025-12-22,3053
121,Customer_121,Male,53,Chennai,MH,2025-10-03,311
122,Customer_122,Male,27,Pune,TN,2025-10-13,1621
123,Customer_123,Female,61,Bangalore,DL,2025-10-28,3442
124,Customer_124,Female,36,Bangalore,MH,2025-08-20,2594
125,Customer_125,Male,21,Delhi,DL,2025-10-11,2948
126,Customer_126,Male,42,Chennai,TS,2025-11-08,3832
127,Customer_127,Female,31,Delhi,TN,2025-12-12,4532
128,Customer_128,Female,65,Bangalore,MH,2026-01-02,1050
129,Customer_129,Male,51,Hyderabad,TS,2025-11-19,1490
130,Customer_130,Male,58,Pune,DL,2025-08-11,295
131,Customer_131,Male,32,Pune,TN,2025-09-10,3922
132,Customer_132,Male,36,Hyderabad,TN,2025-09-25,4751
133,Customer_133,Male,64,Bangalore,DL,2025-12-03,2544
134,Customer_134,Female,45,Bangalore,TN,2025-10-27,3715
135,Customer_135,Male,45,Bangalore,TS,2025-09-01,1561
136,Customer_136,Male,22,Chennai,TS,2025-08-08,3641
137,Customer_137,Male,24,Delhi,TN,2025-10-09,2985
138,Customer_138,Female,49,Pune,MH,2025-10-07,786
139,Customer_139,Male,36,Bangalore,KA,2026-01-20,2209
140,Customer_140,Female,57,Bangalore,TS,2026-01-10,1532
141,Customer_141,Female,41,Delhi,MH,2025-09-02,1342
142,Customer_142,Male,32,Mumbai,KA,2025-08-26,3320
143,Customer_143,Male,51,Bangalore,MH,2025-11-07,1024
144,Customer_144,Female,46,Pune,TN,2025-10-25,4353
145,Customer_145,Female,43,Chennai,DL,2025-11-17,293
146,Customer_146,Female,47,Bangalore,MH,2025-09-12,1104
147,Customer_147,Female,54,Pune,DL,2025-12-22,1551
148,Customer_148,Female,51,Hyderabad,TN,2025-10-27,1731
149,Customer_149,Male,56,Mumbai,KA,2025-10-05,2136
150,Customer_150,Male,46,Delhi,TN,2025-08-28,4598
151,Customer_151,Male,58,Delhi,MH,2025-10-09,807
152,Customer_152,Male,44,Pune,TN,2025-09-29,1288
153,Customer_153,Female,37,Mumbai,TN,2025-09-22,4362
154,Customer_154,Male,36,Bangalore,KA,2025-08-05,3400
155,Customer_155,Male,31,Delhi,TN,2025-08-07,3862
156,Customer_156,Male,32,Hyderabad,MH,2025-08-15,2725
157,Customer_157,Male,23,Mumbai,TS,2025-09-19,4004
158,Customer_158,Male,62,Bangalore,DL,2026-01-25,4502
159,Customer_159,Male,28,Hyderabad,TS,2026-01-03,2981
160,Customer_160,Male,38,Mumbai,MH,2026-01-02,1251
161,Customer_161,Male,35,Pune,TN,2025-09-08,1603
162,Customer_162,Male,49,Bangalore,TN,2026-01-15,3424
163,Customer_163,Female,61,Mumbai,DL,2025-07-30,1144
164,Customer_164,Male,41,Hyderabad,KA,2026-01-01,2799
165,Customer_165,Male,42,Bangalore,TS,2025-09-27,1554
166,Customer_166,Female,19,Bangalore,TN,2025-11-27,1476
167,Customer_167,Female,53,Pune,DL,2025-12-08,2342
168,Customer_168,Male,19,Bangalore,TN,2025-08-05,4472
169,Customer_169,Male,19,Chennai,DL,2025-10-25,300
170,Customer_170,Female,47,Delhi,DL,2026-01-09,1528
171,Customer_171,Male,57,Delhi,TN,2025-10-30,1961
172,Customer_172,Female,32,Mumbai,MH,2025-09-17,3762
173,Customer_173,Female,61,Chennai,MH,2026-01-24,2077
174,Customer_174,Male,48,Pune,DL,2025-12-22,3180
175,Customer_175,Male,43,Hyderabad,TN,2025-11-02,3889
176,Customer_176,Male,28,Pune,TN,2025-11-26,3405
177,Customer_177,Female,29,Bangalore,KA,2025-11-25,4335
178,Customer_178,Female,36,Pune,KA,2025-09-12,537
179,Customer_179,Female,25,Pune,KA,2025-08-08,3599
180,Customer_180,Female,37,Chennai,KA,2025-08-16,1831
181,Customer_181,Female,58,Chennai,TS,2025-09-16,4322
182,Customer_182,Male,22,Pune,MH,2025-08-16,1159
183,Customer_183,Male,57,Bangalore,TS,2025-08-20,2716
184,Customer_184,Male,52,Mumbai,DL,2025-12-28,2292
185,Customer_185,Female,63,Hyderabad,TS,2025-08-19,168
186,Customer_186,Female,24,Hyderabad,MH,2025-09-11,4025
187,Customer_187,Male,64,Mumbai,KA,2025-08-21,2888
188,Customer_188,Male,21,Delhi,TS,2025-09-09,386
189,Customer_189,Male,27,Chennai,KA,2025-09-23,3804
190,Customer_190,Male,38,Hyderabad,TS,2026-01-03,3639
191,Customer_191,Female,19,Delhi,MH,2025-08-08,4680
192,Customer_192,Male,49,Bangalore,TN,2025-11-25,985
193,Customer_193,Female,52,Hyderabad,MH,2025-10-16,2845
194,Customer_194,Male,38,Bangalore,DL,2025-08-22,4156
195,Customer_195,Female,30,Bangalore,KA,2025-12-16,3258
196,Customer_196,Female,46,Chennai,MH,2025-08-27,4469
197,Customer_197,Male,31,Pune,KA,2025-08-25,4003
198,Customer_198,Male,63,Delhi,TS,2025-10-26,3779
199,Customer_199,Female,58,Bangalore,DL,2025-11-24,992
200,Customer_200,Male,33,Hyderabad,KA,2025-08-27,4010
201,Customer_201,Male,38,Bangalore,MH,2025-08-19,2179
202,Customer_202,Male,18,Hyderabad,KA,2025-11-23,3698
203,Customer_203,Male,29,Pune,MH,2025-08-13,3255
204,Customer_204,Male,18,Hyderabad,MH,2026-01-20,1061
205,Customer_205,Male,45,Delhi,MH,2026-01-19,2975
206,Customer_206,Female,48,Pune,TS,2025-12-24,1793
207,Customer_207,Female,64,Delhi,TN,2025-10-11,3512
208,Customer_208,Female,65,Delhi,TN,2025-10-23,1297
209,Customer_209,Male,61,Bangalore,TS,2025-12-08,3687
210,Customer_210,Female,27,Delhi,TN,2025-12-12,1624
211,Customer_211,Male,30,Bangalore,TS,2025-09-28,3771
212,Customer_212,Male,60,Mumbai,DL,2025-10-30,2936
213,Customer_213,Female,53,Bangalore,MH,2025-10-19,3427
214,Customer_214,Male,26,Chennai,DL,2025-12-06,3317
215,Customer_215,Female,47,Bangalore,DL,2025-09-01,3292
216,Customer_216,Female,51,Chennai,TN,2025-12-04,4405
217,Customer_217,Female,24,Delhi,TS,2025-10-12,2573
218,Customer_218,Female,34,Hyderabad,DL,2025-09-24,4457
219,Customer_219,Female,44,Chennai,DL,2026-01-12,1107
220,Customer_220,Female,56,Bangalore,KA,2025-11-18,1997
221,Customer_221,Male,42,Bangalore,DL,2025-09-15,115
222,Customer_222,Male,49,Chennai,MH,2025-11-26,4349
223,Customer_223,Female,42,Chennai,DL,2025-12-17,1346
224,Customer_224,Male,48,Mumbai,MH,2025-11-07,2761
225,Customer_225,Male,23,Chennai,DL,2025-09-23,2276
226,Customer_226,Male,37,Mumbai,TS,2025-11-29,608
227,Customer_227,Female,54,Chennai,MH,2025-10-02,3164
228,Customer_228,Male,51,Chennai,TN,2025-12-26,1438
229,Customer_229,Male,33,Delhi,TN,2025-08-23,2733
230,Customer_230,Female,53,Pune,MH,2026-01-21,3682
231,Customer_231,Male,43,Chennai,MH,2025-12-31,263
232,Customer_232,Male,37,Pune,DL,2025-08-13,3350
233,Customer_233,Male,53,Mumbai,DL,2025-10-03,2502
234,Customer_234,Male,52,Pune,TN,2025-09-14,3028
235,Customer_235,Male,48,Pune,MH,2025-12-05,4980
236,Customer_236,Male,51,Pune,KA,2026-01-19,550
237,Customer_237,Male,62,Hyderabad,KA,2025-10-28,784
238,Customer_238,Female,59,Bangalore,KA,2025-10-16,1807
239,Customer_239,Male,50,Pune,KA,2025-11-15,1962
240,Customer_240,Male,61,Chennai,TN,2025-09-08,247
241,Customer_241,Male,59,Hyderabad,TS,2025-11-21,61
242,Customer_242,Male,48,Chennai,DL,2025-12-06,918
243,Customer_243,Female,63,Delhi,TS,2025-11-06,4372
244,Customer_244,Female,30,Pune,KA,2026-01-15,3460
245,Customer_245,Female,50,Hyderabad,MH,2025-10-05,2998
246,Customer_246,Male,22,Mumbai,MH,2025-09-12,1053
247,Customer_247,Female,27,Chennai,TN,2025-10-23,3867
248,Customer_248,Male,54,Chennai,MH,2025-08-09,1903
249,Customer_249,Female,35,Pune,TS,2025-08-24,2818
250,Customer_250,Female,42,Pune,TS,2025-10-07,3996
251,Customer_251,Male,41,Hyderabad,TS,2025-11-14,1605
252,Customer_252,Female,49,Delhi,MH,2026-01-06,877
253,Customer_253,Female,44,Chennai,DL,2025-07-31,3882
254,Customer_254,Female,60,Delhi,KA,2025-11-01,221
255,Customer_255,Male,20,Bangalore,TS,2025-12-11,4558
256,Customer_256,Male,59,Bangalore,DL,2025-10-14,2003
257,Customer_257,Female,26,Mumbai,TS,2026-01-12,4898
258,Customer_258,Male,35,Chennai,DL,2026-01-11,994
259,Customer_259,Male,55,Mumbai,TS,2025-10-11,4497
260,Customer_260,Male,24,Chennai,TS,2026-01-17,2515
261,Customer_261,Female,26,Hyderabad,KA,2025-08-04,3750
262,Customer_262,Male,37,Bangalore,MH,2025-11-27,4864
263,Customer_263,Female,44,Delhi,TS,2025-09-28,4711
264,Customer_264,Male,54,Hyderabad,KA,2025-08-04,1582
265,Customer_265,Male,19,Chennai,TN,2025-11-08,1706
266,Customer_266,Female,28,Chennai,DL,2025-12-28,1950
267,Customer_267,Female,41,Bangalore,KA,2025-08-17,2308
268,Customer_268,Male,56,Pune,KA,2025-09-23,1752
269,Customer_269,Female,60,Chennai,TN,2025-11-03,3357
270,Customer_270,Female,42,Mumbai,TS,2026-01-01,1824
271,Customer_271,Male,52,Hyderabad,MH,2026-01-23,4024
272,Customer_272,Female,23,Pune,TS,2025-11-21,3873
273,Customer_273,Male,45,Delhi,MH,2025-08-07,1163
274,Customer_274,Male,45,Delhi,DL,2025-11-13,2240
275,Customer_275,Female,37,Chennai,DL,2025-11-09,1455
276,Customer_276,Male,18,Mumbai,MH,2025-10-15,4146
277,Customer_277,Male,23,Chennai,TN,2026-01-23,1530
278,Customer_278,Male,49,Delhi,TN,2026-01-07,1784
279,Customer_279,Female,35,Chennai,DL,2025-09-22,2351
280,Customer_280,Female,53,Bangalore,MH,2025-07-31,1987
281,Customer_281,Male,55,Pune,DL,2025-09-08,1236
282,Customer_282,Female,21,Delhi,DL,2025-11-07,3840
283,Customer_283,Male,55,Bangalore,TN,2025-10-14,4214
284,Customer_284,Female,62,Chennai,TN,2025-12-09,1790
285,Customer_285,Female,20,Mumbai,MH,2025-12-14,4561
286,Customer_286,Female,25,Hyderabad,MH,2025-10-10,4640
287,Customer_287,Male,63,Pune,TN,2025-11-24,2752
288,Customer_288,Male,32,Hyderabad,TN,2026-01-05,690
289,Customer_289,Female,19,Hyderabad,DL,2026-01-07,3957
290,Customer_290,Female,61,Bangalore,DL,2025-10-31,1186
291,Customer_291,Male,29,Chennai,KA,2025-08-01,2476
292,Customer_292,Male,53,Hyderabad,KA,2025-10-11,67
293,Customer_293,Female,48,Hyderabad,DL,2025-11-23,1536
294,Customer_294,Male,62,Pune,MH,2025-12-18,1073
295,Customer_295,Female,50,Chennai,TS,2025-11-10,4543
296,Customer_296,Male,32,Pune,DL,2025-09-06,2610
297,Customer_297,Female,30,Chennai,KA,2026-01-17,4187
298,Customer_298,Female,28,Hyderabad,TN,2026-01-10,482
299,Customer_299,Male,59,Chennai,MH,2025-09-17,1912
300,Customer_300,Male,21,Hyderabad,TS,2025-12-12,3658
301,Customer_301,Male,45,Chennai,KA,2025-10-27,484
302,Customer_302,Male,59,Delhi,KA,2025-10-17,834
303,Customer_303,Male,60,Pune,TN,2025-08-29,2091
304,Customer_304,Female,46,Mumbai,MH,2025-09-21,4152
305,Customer_305,Male,63,Chennai,MH,2025-08-14,4049
306,Customer_306,Female,23,Bangalore,MH,2025-11-12,3605
307,Customer_307,Male,37,Delhi,DL,2026-01-10,595
308,Customer_308,Male,45,Mumbai,MH,2025-10-13,3254
309,Customer_309,Female,62,Pune,DL,2025-08-27,3228
310,Customer_310,Female,48,Pune,TN,2025-11-22,969
311,Customer_311,Male,58,Delhi,DL,2025-10-30,2068
312,Customer_312,Female,21,Hyderabad,TS,2025-12-06,3505
313,Customer_313,Male,30,Pune,DL,2025-10-16,2713
314,Customer_314,Male,23,Bangalore,MH,2025-11-07,76
315,Customer_315,Male,26,Bangalore,TN,2025-11-06,267
316,Customer_316,Female,50,Pune,TN,2026-01-19,2757
317,Customer_317,Female,44,Bangalore,MH,2025-10-12,4995
318,Customer_318,Male,56,Mumbai,TS,2025-08-30,3706
319,Customer_319,Male,23,Bangalore,KA,2025-12-28,2802
320,Customer_320,Male,61,Hyderabad,TS,2025-11-06,508
321,Customer_321,Male,33,Mumbai,MH,2026-01-03,4716
322,Customer_322,Female,65,Delhi,KA,2025-10-19,4985
323,Customer_323,Male,27,Mumbai,DL,2025-10-12,688
324,Customer_324,Male,25,Delhi,MH,2025-09-23,4015
325,Customer_325,Female,35,Bangalore,DL,2025-12-14,4252
326,Customer_326,Female,49,Hyderabad,MH,2025-12-07,1185
327,Customer_327,Male,64,Pune,TS,2025-12-04,2170
328,Customer_328,Female,39,Hyderabad,MH,2025-12-24,178
329,Customer_329,Male,28,Mumbai,KA,2025-10-23,2727
330,Customer_330,Male,40,Hyderabad,TS,2026-01-15,729
331,Customer_331,Female,29,Pune,TS,2025-11-21,1742
332,Customer_332,Male,62,Pune,MH,2025-08-22,4097
333,Customer_333,Female,50,Pune,KA,2026-01-11,2906
334,Customer_334,Male,37,Bangalore,KA,2025-08-08,1664
335,Customer_335,Male,32,Hyderabad,KA,2025-11-02,1388
336,Customer_336,Female,63,Bangalore,MH,2025-08-12,2086
337,Customer_337,Female,52,Bangalore,TN,2025-08-19,2641
338,Customer_338,Female,45,Hyderabad,KA,2025-11-11,881
339,Customer_339,Male,30,Hyderabad,DL,2025-08-09,615
340,Customer_340,Male,29,Mumbai,TN,2025-11-18,4039
341,Customer_341,Male,27,Chennai,TS,2025-10-17,3244
342,Customer_342,Male,28,Pune,KA,2025-09-21,2351
343,Customer_343,Female,22,Chennai,KA,2025-10-21,4966
344,Customer_344,Female,48,Pune,TN,2025-10-07,3713
345,Customer_345,Female,21,Pune,KA,2025-11-27,359
346,Customer_346,Male,60,Mumbai,TN,2026-01-08,4377
347,Customer_347,Female,40,Pune,TN,2025-12-14,1863
348,Customer_348,Female,21,Chennai,DL,2025-11-03,2862
349,Customer_349,Female,46,Hyderabad,TS,2025-11-04,194
350,Customer_350,Female,39,Chennai,MH,2026-01-17,1360
351,Customer_351,Male,47,Hyderabad,DL,2025-08-03,4707
352,Customer_352,Male,64,Chennai,TS,2025-12-02,808
353,Customer_353,Female,53,Delhi,TS,2025-12-20,2120
354,Customer_354,Male,18,Chennai,TS,2025-09-16,2405
355,Customer_355,Female,35,Bangalore,KA,2026-01-16,2493
356,Customer_356,Male,48,Bangalore,TS,2025-08-12,4319
357,Customer_357,Male,54,Pune,TN,2025-08-24,3603
358,Customer_358,Female,59,Chennai,DL,2025-11-03,4800
359,Customer_359,Female,55,Hyderabad,DL,2025-12-27,4370
360,Customer_360,Female,35,Delhi,KA,2025-09-02,1598
361,Customer_361,Female,22,Chennai,TN,2025-10-05,3871
362,Customer_362,Male,28,Hyderabad,TN,2025-10-20,1592
363,Customer_363,Female,42,Hyderabad,MH,2025-08-21,586
364,Customer_364,Male,35,Delhi,TS,2025-10-14,2427
365,Customer_365,Female,26,Hyderabad,TS,2026-01-13,2945
366,Customer_366,Male,53,Pune,DL,2025-12-29,2075
367,Customer_367,Female,51,Pune,TN,2025-10-17,4125
368,Customer_368,Male,46,Chennai,KA,2025-07-29,2757
369,Customer_369,Male,54,Mumbai,DL,2025-10-24,3143
370,Customer_370,Female,46,Pune,DL,2025-11-11,129
371,Customer_371,Female,21,Chennai,KA,2025-09-21,21
372,Customer_372,Male,41,Hyderabad,DL,2026-01-11,4963
373,Customer_373,Female,65,Pune,DL,2026-01-04,2900
374,Customer_374,Female,33,Pune,DL,2025-11-23,1838
375,Customer_375,Male,27,Hyderabad,MH,2025-08-30,4059
376,Customer_376,Female,44,Hyderabad,KA,2026-01-18,2055
377,Customer_377,Female,50,Pune,KA,2025-10-12,782
378,Customer_378,Female,42,Mumbai,TN,2025-11-01,303
379,Customer_379,Female,44,Delhi,MH,2025-10-20,2831
380,Customer_380,Female,47,Pune,KA,2025-11-18,2083
381,Customer_381,Female,56,Pune,KA,2026-01-08,3228
382,Customer_382,Male,21,Delhi,TS,2025-08-23,3570
383,Customer_383,Male,25,Pune,KA,2025-11-23,1857
384,Customer_384,Female,44,Bangalore,MH,2025-10-01,4792
385,Customer_385,Female,51,Delhi,TN,2025-10-27,3905
386,Customer_386,Male,62,Hyderabad,DL,2025-08-29,2547
387,Customer_387,Female,42,Delhi,DL,2025-08-21,1252
388,Customer_388,Female,62,Mumbai,KA,2025-08-13,1947
389,Customer_389,Male,24,Hyderabad,DL,2026-01-08,3515
390,Customer_390,Female,52,Mumbai,TS,2026-01-19,3520
391,Customer_391,Female,24,Delhi,TS,2026-01-06,804
392,Customer_392,Male,63,Delhi,MH,2025-08-06,2689
393,Customer_393,Female,35,Delhi,TS,2025-09-19,1058
394,Customer_394,Female,47,Chennai,DL,2025-11-19,206
395,Customer_395,Female,42,Chennai,MH,2025-09-25,4162
396,Customer_396,Female,26,Chennai,TS,2025-10-20,413
397,Customer_397,Female,26,Mumbai,TN,2025-10-02,3746
398,Customer_398,Male,28,Mumbai,KA,2025-08-06,1924
399,Customer_399,Female,23,Delhi,TS,2026-01-22,1902
400,Customer_400,Male,34,Delhi,KA,2025-12-24,2984
401,Customer_401,Male,47,Hyderabad,TN,2025-09-08,2453
402,Customer_402,Female,61,Hyderabad,TS,2026-01-01,1171
403,Customer_403,Female,23,Bangalore,KA,2025-08-25,474
404,Customer_404,Male,24,Mumbai,KA,2025-12-04,961
405,Customer_405,Male,65,Pune,KA,2025-10-12,52
406,Customer_406,Female,54,Pune,TN,2025-09-19,1275
407,Customer_407,Male,40,Chennai,KA,2025-12-23,2636
408,Customer_408,Male,26,Hyderabad,DL,2025-09-14,1801
409,Customer_409,Male,44,Pune,TS,2026-01-18,4050
410,Customer_410,Male,43,Chennai,TS,2025-10-26,1645
411,Customer_411,Male,40,Chennai,TN,2025-10-16,4447
412,Customer_412,Male,30,Mumbai,KA,2025-11-20,4627
413,Customer_413,Female,30,Delhi,MH,2025-11-10,3665
414,Customer_414,Male,19,Mumbai,MH,2025-11-14,1090
415,Customer_415,Female,43,Chennai,DL,2025-09-16,3524
416,Customer_416,Female,46,Chennai,TN,2025-08-26,3075
417,Customer_417,Male,46,Bangalore,TN,2025-12-18,4181
418,Customer_418,Female,32,Hyderabad,TS,2025-12-01,3499
419,Customer_419,Female,57,Hyderabad,DL,2025-08-11,4623
420,Customer_420,Female,64,Pune,DL,2026-01-11,388
421,Customer_421,Male,38,Hyderabad,KA,2025-10-08,1425
422,Customer_422,Male,36,Mumbai,TN,2025-11-18,622
423,Customer_423,Male,34,Pune,MH,2025-08-08,874
424,Customer_424,Male,48,Pune,DL,2025-08-25,1824
425,Customer_425,Female,65,Bangalore,DL,2025-09-08,3397
426,Customer_426,Male,39,Mumbai,DL,2025-12-21,3103
427,Customer_427,Male,40,Pune,TS,2025-09-19,4964
428,Customer_428,Female,45,Delhi,TS,2025-11-01,3981
429,Customer_429,Male,51,Bangalore,DL,2025-11-03,2269
430,Customer_430,Male,60,Bangalore,TS,2025-11-14,2665
431,Customer_431,Male,26,Chennai,TS,2026-01-07,4183
432,Customer_432,Female,38,Hyderabad,DL,2025-12-06,4312
433,Customer_433,Male,34,Mumbai,TS,2025-10-01,3134
434,Customer_434,Female,28,Mumbai,MH,2025-10-03,4933
435,Customer_435,Female,47,Chennai,MH,2025-10-13,1920
436,Customer_436,Female,60,Delhi,TS,2025-12-12,2315
437,Customer_437,Female,49,Mumbai,TN,2025-10-29,3001
438,Customer_438,Female,25,Hyderabad,MH,2026-01-16,841
439,Customer_439,Male,53,Mumbai,TS,2025-08-10,4657
440,Customer_440,Female,39,Delhi,KA,2025-09-13,4894
441,Customer_441,Female,59,Delhi,DL,2026-01-11,168
442,Customer_442,Female,38,Pune,KA,2026-01-24,2681
443,Customer_443,Male,22,Mumbai,DL,2025-12-25,1171
444,Customer_444,Female,45,Chennai,DL,2025-08-28,622
445,Customer_445,Female,52,Hyderabad,DL,2026-01-18,104
