supplier_id,supplier_name,city,lead_time_days,rating
58,Supplier_58,Chennai,2,4.87
59,Supplier_59,Chennai,7,3.49
60,Supplier_60,Mumbai,8,4.0
61,Supplier_61,Chennai,6,3.04
62,Supplier_62,Mumbai,4,4.82
63,Supplier_63,Hyderabad,9,3.11
64,Supplier_64,Mumbai,1,4.06
65,Supplier_65,Chennai,10,3.34
66,Supplier_66,Hyderabad,2,3.71
67,Supplier_67,Mumbai,1,4.23
68,Supplier_68,Chennai,1,4.89
69,Supplier_69,Bangalore,2,4.21
70,Supplier_70,Chennai,5,3.53
71,Supplier_71,Chennai,5,4.01
72,Supplier_72,Bangalore,7,4.08
73,Supplier_73,Chennai,1,3.79
74,Supplier_74,Mumbai,6,3.64
75,Supplier_75,Mumbai,2,4.43
76,Supplier_76,Bangalore,2,4.9
77,Supplier_77,Bangalore,8,3.3
78,Supplier_78,Chennai,2,3.68
79,Supplier_79,Mumbai,7,3.21
80,Supplier_80,Mumbai,4,4.62
81,Supplier_81,Chennai,10,4.41
82,Supplier_82,Chennai,1,4.54
83,Supplier_83,Mumbai,5,4.86
84,Supplier_84,Bangalore,5,4.39
85,Supplier_85,Hyderabad,8,4.02
86,Supplier_86,Chennai,1,4.94
87,Supplier_87,Bangalore,9,4.41
88,Supplier_88,Bangalore,6,3.41
89,Supplier_89,Hyderabad,9,4.4
90,Supplier_90,Bangalore,6,3.25
91,Supplier_91,Bangalore,1,4.8
92,Supplier_92,Mumbai,2,4.29
93,Supplier_93,Bangalore,7,3.17
94,Supplier_94,Chennai,7,3.47
95,Supplier_95,Bangalore,7,4.18
96,Supplier_96,Bangalore,10,3.71
97,Supplier_97,Chennai,8,4.4
98,Supplier_98,Mumbai,5,4.33
99,Supplier_99,Bangalore,3,4.62
100,Supplier_100,Mumbai,7,3.21
101,Supplier_101,Hyderabad,2,4.76
102,Supplier_102,Hyderabad,10,4.41
103,Supplier_103,Chennai,3,4.77
104,Supplier_104,Bangalore,5,3.05
105,Supplier_105,Bangalore,5,3.38
106,Supplier_106,Bangalore,5,3.11
107,Supplier_107,Chennai,5,3.16
108,Supplier_108,Mumbai,3,4.48
109,Supplier_109,Chennai,5,3.99
110,Supplier_110,Hyderabad,4,3.26
111,Supplier_111,Hyderabad,4,3.61
112,Supplier_112,Bangalore,5,3.48
113,Supplier_113,Mumbai,3,3.07
114,Supplier_114,Bangalore,1,4.89
115,Supplier_115,Bangalore,5,4.86
116,Supplier_116,Bangalore,6,4.71
117,Supplier_117,Bangalore,2,4.16
118,Supplier_118,Bangalore,5,4.14
119,Supplier_119,Chennai,4,4.74
120,Supplier_120,Bangalore,5,4.05
121,Supplier_121,Bangalore,3,4.51
122,Supplier_122,Chennai,9,3.69
123,Supplier_123,Hyderabad,4,4.6
124,Supplier_124,Bangalore,3,4.37
125,Supplier_125,Hyderabad,3,4.27
126,Supplier_126,Bangalore,4,4.54
127,Supplier_127,Bangalore,6,4.24
128,Supplier_128,Hyderabad,1,3.06
129,Supplier_129,Chennai,3,3.99
130,Supplier_130,Hyderabad,6,4.41
131,Supplier_131,Hyderabad,7,4.62
132,Supplier_132,Chennai,10,3.18
133,Supplier_133,Chennai,1,3.34
134,Supplier_134,Chennai,9,4.39
135,Supplier_135,Hyderabad,6,3.56
136,Supplier_136,Mumbai,7,3.99
137,Supplier_137,Chennai,1,3.32
138,Supplier_138,Mumbai,4,3.78
139,Supplier_139,Bangalore,9,4.11
140,Supplier_140,Chennai,9,3.88
141,Supplier_141,Mumbai,3,3.96
142,Supplier_142,Hyderabad,5,3.69
143,Supplier_143,Chennai,6,4.67
144,Supplier_144,Bangalore,10,4.51
145,Supplier_145,Hyderabad,8,4.07
146,Supplier_146,Bangalore,3,4.35
147,Supplier_147,Hyderabad,1,3.09
148,Supplier_148,Mumbai,7,4.04
149,Supplier_149,Mumbai,7,4.16
150,Supplier_150,Chennai,8,4.0
151,Supplier_151,Hyderabad,6,4.92
152,Supplier_152,Bangalore,4,3.39
153,Supplier_153,Hyderabad,5,3.96
154,Supplier_154,Bangalore,2,3.94
155,Supplier_155,Chennai,7,4.7
156,Supplier_156,Mumbai,10,3.73
157,Supplier_157,Hyderabad,5,3.63
158,Supplier_158,Chennai,6,4.37
159,Supplier_159,Chennai,6,4.99
160,Supplier_160,Mumbai,8,4.92
161,Supplier_161,Bangalore,5,4.61
162,Supplier_162,Mumbai,1,3.91
163,Supplier_163,Hyderabad,10,3.6
164,Supplier_164,Bangalore,4,3.43
165,Supplier_165,Hyderabad,10,4.99
166,Supplier_166,Mumbai,6,3.58
167,Supplier_167,Hyderabad,9,4.14
168,Supplier_168,Chennai,7,4.07
169,Supplier_169,Bangalore,5,3.05
170,Supplier_170,Chennai,10,4.24
171,Supplier_171,Chennai,10,4.01
172,Supplier_172,Chennai,3,4.36
173,Supplier_173,Bangalore,5,3.44
174,Supplier_174,Bangalore,3,4.47
175,Supplier_175,Hyderabad,8,3.4
176,Supplier_176,Hyderabad,1,4.09
177,Supplier_177,Hyderabad,10,4.25
178,Supplier_178,Chennai,7,4.11
179,Supplier_179,Hyderabad,8,4.11
180,Supplier_180,Bangalore,2,4.43
181,Supplier_181,Bangalore,2,4.04
182,Supplier_182,Mumbai,7,3.03
183,Supplier_183,Chennai,2,4.01
184,Supplier_184,Mumbai,10,4.82
185,Supplier_185,Chennai,6,4.28
186,Supplier_186,Chennai,5,4.31
187,Supplier_187,Chennai,2,3.43
188,Supplier_188,Hyderabad,4,4.54
189,Supplier_189,Bangalore,3,3.82
190,Supplier_190,Chennai,6,3.29
191,Supplier_191,Chennai,2,4.53
192,Supplier_192,Bangalore,3,4.97
193,Supplier_193,Chennai,8,3.99
194,Supplier_194,Hyderabad,2,3.54
195,Supplier_195,Hyderabad,7,3.01
196,Supplier_196,Mumbai,8,4.46
197,Supplier_197,Hyderabad,3,3.12
198,Supplier_198,Mumbai,1,3.12
199,Supplier_199,Hyderabad,9,4.51
200,Supplier_200,Chennai,4,4.96
